timestamp,vehicle_index,position [channel],uncertainty_in_position,velocity [km/h],uncertainty_in_velocity
2021-08-31 14:30:47.600,0,974.0,0.5,73.53361373577707,29.413445494310828
2021-08-31 14:30:47.800,0,975.0,0.5826666666666667,73.53361373577707,32.354790043741914
2021-08-31 14:30:48.000,0,974.1182902584493,0.31361829025844934,44.587976519705784,26.80541434312542
2021-08-31 14:30:48.200,0,974.7246520874752,0.5204042412193508,44.587976519705784,29.746758892556503
2021-08-31 14:30:48.400,0,975.3310139165011,0.8890033134526181,44.587976519705784,32.688103441987586
2021-08-31 14:30:48.600,0,975.937375745527,1.435415506958251,44.587976519705784,35.62944799141867
2021-08-31 14:30:48.800,0,976.5437375745529,2.17564082173625,44.587976519705784,38.57079254084976
2021-08-31 14:30:49.000,0,977.1500994035788,3.125679257786615,44.587976519705784,41.512137090280845
2021-08-31 14:30:49.200,0,977.7564612326047,4.301530815109346,44.587976519705784,44.45348163971193
2021-08-31 14:30:49.400,0,978.3628230616306,5.719195493704443,44.587976519705784,47.39482618914302
2021-08-31 14:30:49.600,0,978.9691848906565,7.3946732935719055,44.587976519705784,50.336170738574104
2021-08-31 14:30:49.800,0,979.5755467196824,9.343964214711734,44.587976519705784,53.27751528800519
2021-08-31 14:30:50.000,0,980.1819085487083,11.583068257123928,44.587976519705784,56.21885983743627
2021-08-31 14:30:50.200,0,980.7882703777342,14.127985420808487,44.587976519705784,59.16020438686735
2021-08-31 14:30:50.400,0,981.3946322067601,16.99471570576541,44.587976519705784,62.101548936298435
2021-08-31 14:30:50.600,0,982.000994035786,20.199259111994703,44.587976519705784,65.04289348572952
2021-08-31 14:30:50.800,0,982.6073558648119,23.757615639496358,44.587976519705784,67.9842380351606
2021-08-31 14:30:51.000,0,983.2137176938378,27.68578528827038,44.587976519705784,70.9255825845917
2021-08-31 14:30:51.200,0,991.8741541714627,0.49230763740986205,86.34362726910462,16.28360643157919
2021-08-31 14:30:51.400,0,993.0483604001863,0.6086824882405598,86.34362726910462,19.224950981010274
2021-08-31 14:30:51.600,0,993.4597376500044,0.31197848888846236,76.92607933923878,16.80157418328817
2021-08-31 14:30:51.800,0,994.5058725457495,0.4650989429887006,76.92607933923878,19.742918732719254
2021-08-31 14:30:52.000,0,995.5520074414947,0.7256147376941757,76.92607933923878,22.684263282150336
2021-08-31 14:30:52.200,0,996.5981423372398,1.1095258730048876,76.92607933923878,25.625607831581416
2021-08-31 14:30:52.400,0,997.6442772329849,1.6328323489208363,76.92607933923878,28.5669523810125
2021-08-31 14:30:52.600,0,998.69041212873,2.3115341654420223,76.92607933923878,31.50829693044358
2021-08-31 14:30:52.800,0,999.7365470244752,3.161631322568445,76.92607933923878,34.449641479874664
2021-08-31 14:30:53.000,0,1000.7826819202203,4.1991238203001044,76.92607933923878,37.39098602930575
2021-08-31 14:30:53.200,0,1001.8288168159654,5.440011658637,76.92607933923878,40.33233057873684
2021-08-31 14:30:53.400,0,1002.8749517117105,6.900294837579133,76.92607933923878,43.27367512816792
2021-08-31 14:30:53.600,0,1003.9210866074557,8.595973357126503,76.92607933923878,46.21501967759901
2021-08-31 14:30:53.800,0,1004.9672215032008,10.54304721727911,76.92607933923878,49.156364227030096
2021-08-31 14:30:54.000,0,1006.0133563989459,12.757516418036953,76.92607933923878,52.09770877646118
2021-08-31 14:30:54.200,0,1001.1922991043601,0.4841324052624163,39.526071256413196,14.227411741449327
2021-08-31 14:30:54.400,0,1001.8781532112489,0.274859112554226,41.04134768718164,14.794658125846759
2021-08-31 14:30:54.600,0,1002.7874602669763,0.2552740779389601,46.441666619561694,15.503211726657725
2021-08-31 14:30:54.800,0,1004.1269670807727,0.22565668752477328,59.17853381607138,14.455911468612076
2021-08-31 14:30:55.000,0,1004.9317491499463,0.3780644988848858,59.17853381607138,17.39725601804316
2021-08-31 14:30:55.200,0,1005.8828316559777,0.2780065253610946,61.75738021396677,13.005287483364718
2021-08-31 14:30:55.400,0,1006.8538727064463,0.2367762818531859,64.03343268810366,11.596280907924704
2021-08-31 14:30:55.600,0,1007.9712202042343,0.2558293998872993,68.36329838028388,11.876573959579686
2021-08-31 14:30:55.800,0,1008.9009079335214,0.41300014119692136,68.36329838028388,14.817918509010768
2021-08-31 14:30:56.000,0,1009.8305956628087,0.6507757528846261,68.36329838028388,17.75926305844185
2021-08-31 14:30:56.200,0,1011.5817667436058,0.33306416312354514,80.25925808824199,11.402502495346457
2021-08-31 14:30:56.400,0,1012.6732302799498,0.49792539995655516,80.25925808824199,14.34384704477754
2021-08-31 14:30:56.600,0,1013.3084732728364,0.29899075104613926,73.75560029432633,11.180031230582625
2021-08-31 14:30:56.800,0,1014.311492117515,0.4479923882490652,73.75560029432633,14.121375780013707
2021-08-31 14:30:57.000,0,1015.3145109621942,0.6738099199122036,73.75560029432633,17.06272032944479
2021-08-31 14:30:57.200,0,1016.3175298068735,0.9924433460355545,73.75560029432633,20.004064878875873
2021-08-31 14:30:57.400,0,1017.3205486515525,1.4198926666191178,73.75560029432633,22.945409428306952
2021-08-31 14:30:57.600,0,1018.3235674962319,1.9721578816628935,73.75560029432633,25.886753977738035
2021-08-31 14:30:57.800,0,1019.3265863409107,2.665238991166882,73.75560029432633,28.828098527169118
2021-08-31 14:30:58.000,0,1020.3296051855898,3.5151359951310828,73.75560029432633,31.7694430766002
2021-08-31 14:31:11.600,1,1012.0,0.5,-73.53361373577707,29.413445494310828
2021-08-31 14:31:11.800,1,1011.0,0.5826666666666667,-73.53361373577707,32.354790043741914
